Document group,Document name,文本标题,年份,时间阶段,内容类属,内容主题,内容概述,时间段2,文本编号
Group 1,19940126_团结奋斗_再创华为佳绩,团结奋斗_再创华为佳绩,1994,1,队伍建设,文化理念,鼓励团结奋斗,1994-2000,1994-1-DW3
Group 1,19940605_胜利祝酒辞,胜利祝酒辞,1994,1,战略导向,总体战略,华为的成就和发展,1994-2000,1994-2-ZL4
Group 1,19940621_对中国农话网与交换机产业的一点看法,对中国农话网与交换机产业的一点看法,1994,1,战略导向,业务层战略,农话网业务发展,1994-2000,1994-3-ZL1
Group 1,19941225_从二则空难事故看员工培训的重要性,从二则空难事故看员工培训的重要性,1994,1,队伍建设,培养选拔,加强员工培训,1994-2000,1994-4-DW2
Group 1,19941225_致新员工书,致新员工书,1994,1,队伍建设,培养选拔,鼓励团结奋斗,1994-2000,1994-5-DW2
Group 1,19950109_坚定不移地坚持发展的方向,坚定不移地坚持发展的方向,1995,1,战略导向,总体战略,工作导向规划,1994-2000,1995-1-ZL4
Group 1,19950110_不前进就免职,不前进就免职,1995,1,队伍建设,培养选拔,指引干部工作,1994-2000,1995-2-DW2
Group 1,199507_要建立一个均衡的平台,要建立一个均衡的平台,1995,1,队伍建设,培养选拔,指引秘书工作,1994-2000,1995-3-DW2
Group 1,19951226_目前我们的形势和任务,目前我们的形势和任务,1995,1,战略导向,总体战略,华为发展的过往、环境和未来战略,1994-2000,1995-4-ZL4
Group 1,19960128_当干部是一种责任,当干部是一种责任,1996,1,队伍建设,培养选拔,对干部的要求,1994-2000,1996-1-DW2
Group 1,19960406_反骄破满，在思想上艰苦奋斗,反骄破满，在思想上艰苦奋斗,1996,1,队伍建设,文化理念,鼓励团结奋斗,1994-2000,1996-2-DW3
Group 1,19960502_加强合作走向世界,加强合作走向世界,1996,1,战略导向,总体战略,华为的成就和发展,1994-2000,1996-3-ZL4
Group 1,19960630_再论反骄破满，在思想上艰苦奋斗,再论反骄破满，在思想上艰苦奋斗,1996,1,队伍建设,文化理念,鼓励团结奋斗,1994-2000,1996-4-DW3
Group 1,19960725_我们是要向前迈进一小步，而不是一次大飞跃,我们是要向前迈进一小步，而不是一次大飞跃,1996,1,队伍建设,培养选拔,干部选拔和考评,1994-2000,1996-5-DW2
Group 1,19960811_胜负无定数，敢搏成七分,胜负无定数，敢搏成七分,1996,1,队伍建设,文化理念,鼓励团结奋斗,1994-2000,1996-6-DW3
Group 1,19960828_秘书体系是信息桥,秘书体系是信息桥,1996,1,管理优化,职能体系建设,对秘书系统的要求,1994-2000,1996-7-GL3
Group 1,19961115_实行低重心管理，层层级级都要在做实上下功夫,实行低重心管理，层层级级都要在做实上下功夫,1996,1,管理优化,管理变革,人力资源低重心管理,1994-2000,1996-8-GL1
Group 1,19961121_培训——通向华为明天的重要阶梯,培训——通向华为明天的重要阶梯,1996,1,管理优化,制度建设,公司培训工作,1994-2000,1996-9-GL4
Group 1,19961228_团结起来接受挑战，克服自我溶入大我,团结起来接受挑战，克服自我溶入大我,1996,1,战略导向,总体战略,97年的形势与任务,1994-2000,1996-10-ZL4
Group 1,19970123_不要忘记英雄,不要忘记英雄,1997,1,队伍建设,文化理念,鼓励团结奋斗,1994-2000,1997-1-DW3
Group 1,19970207_资源是会枯竭的，唯有文化才能生生不息,资源是会枯竭的，唯有文化才能生生不息,1997,1,队伍建设,文化理念,鼓励团结奋斗,1994-2000,1997-2-DW3
Group 1,19970222_秘书如何定位,秘书如何定位,1997,1,管理优化,职能体系建设,秘书工作,1994-2000,1997-3-GL3
Group 1,19970226_坚定不移地推行ISO9000,坚定不移地推行ISO9000,1997,1,管理优化,制度建设,ISO9000管理体系,1994-2000,1997-4-GL4
Group 1,19970226_胜则举杯相庆败则拼死相救,胜则举杯相庆败则拼死相救,1997,1,队伍建设,文化理念,鼓励团结奋斗,1994-2000,1997-5-DW3
Group 1,19970330_悼念杨琳,悼念杨琳,1997,1,队伍建设,文化理念,不要忘记功臣,1994-2000,1997-6-DW3
Group 1,19970410_自强不息，荣辱与共，促进管理的进步,自强不息，荣辱与共，促进管理的进步,1997,1,战略导向,总体战略,96年工作总体情况和97年工作导向,1994-2000,1997-7-ZL4
Group 1,19970428_谈学习,谈学习,1997,1,队伍建设,培养选拔,开展学习,1994-2000,1997-8-DW2
Group 1,199705_加强夏收管理促进增产增收,加强夏收管理促进增产增收,1997,1,管理优化,制度建设,干部的制度化循环流动,1994-2000,1997-9-GL4
Group 1,19970626_呼唤英雄,呼唤英雄,1997,1,队伍建设,文化理念,鼓励团结奋斗,1994-2000,1997-10-DW3
